event_id,observed_at,area,latitude,longitude,hour,crime,accident,traffic,weather,road_condition,community,outcome_hazard
evt-001,2026-01-01T06:00:00Z,CBD,-33.925,18.424,6,0.20,0.10,0.40,0.10,0.10,0.10,0
evt-002,2026-01-02T21:00:00Z,Woodstock,-33.930,18.447,21,0.70,0.30,0.30,0.10,0.20,0.40,1
evt-003,2026-01-03T08:00:00Z,Pinelands,-33.936,18.507,8,0.10,0.20,0.50,0.10,0.10,0.10,0
evt-004,2026-01-04T23:00:00Z,Athlone,-33.961,18.503,23,0.80,0.40,0.20,0.10,0.30,0.50,1
evt-005,2026-01-05T14:00:00Z,CBD,-33.923,18.421,14,0.30,0.20,0.60,0.10,0.20,0.20,0
evt-006,2026-01-06T05:00:00Z,Woodstock,-33.929,18.449,5,0.65,0.35,0.20,0.20,0.25,0.40,1
evt-007,2026-01-07T10:00:00Z,Pinelands,-33.938,18.505,10,0.15,0.15,0.35,0.10,0.10,0.05,0
evt-008,2026-01-08T20:00:00Z,Athlone,-33.960,18.506,20,0.75,0.45,0.30,0.15,0.35,0.45,1
evt-009,2026-01-09T16:00:00Z,CBD,-33.924,18.426,16,0.35,0.25,0.70,0.10,0.20,0.20,0
evt-010,2026-01-10T22:00:00Z,Woodstock,-33.931,18.446,22,0.75,0.40,0.25,0.10,0.30,0.50,1
evt-011,2026-01-11T09:00:00Z,Pinelands,-33.935,18.508,9,0.10,0.10,0.40,0.20,0.10,0.10,0
evt-012,2026-01-12T02:00:00Z,Athlone,-33.962,18.501,2,0.85,0.50,0.15,0.10,0.40,0.55,1
evt-013,2026-01-13T07:00:00Z,CBD,-33.926,18.423,7,0.25,0.15,0.55,0.15,0.15,0.15,0
evt-014,2026-01-14T19:00:00Z,Woodstock,-33.928,18.451,19,0.55,0.30,0.60,0.20,0.25,0.35,1
evt-015,2026-01-15T12:00:00Z,Pinelands,-33.937,18.506,12,0.15,0.20,0.45,0.10,0.15,0.10,0
evt-016,2026-01-16T21:00:00Z,Athlone,-33.959,18.504,21,0.70,0.55,0.35,0.20,0.40,0.40,1
evt-017,2026-01-17T15:00:00Z,CBD,-33.922,18.425,15,0.30,0.25,0.65,0.25,0.20,0.20,0
evt-018,2026-01-18T04:00:00Z,Woodstock,-33.932,18.448,4,0.80,0.45,0.15,0.10,0.35,0.60,1
evt-019,2026-01-19T11:00:00Z,Pinelands,-33.934,18.509,11,0.10,0.15,0.30,0.15,0.10,0.05,0
evt-020,2026-01-20T00:00:00Z,Athlone,-33.963,18.502,0,0.90,0.60,0.10,0.10,0.45,0.65,1
evt-021,2026-01-21T13:00:00Z,CBD,-33.925,18.422,13,0.25,0.20,0.55,0.10,0.15,0.15,0
evt-022,2026-01-22T18:00:00Z,Woodstock,-33.930,18.450,18,0.60,0.35,0.65,0.15,0.30,0.35,1
evt-023,2026-01-23T09:00:00Z,Pinelands,-33.936,18.504,9,0.15,0.10,0.40,0.10,0.10,0.10,0
evt-024,2026-01-24T22:00:00Z,Athlone,-33.961,18.507,22,0.75,0.50,0.20,0.20,0.35,0.50,1
evt-025,2026-01-25T17:00:00Z,CBD,-33.924,18.420,17,0.40,0.30,0.75,0.30,0.25,0.25,1
evt-026,2026-01-26T03:00:00Z,Woodstock,-33.929,18.445,3,0.70,0.40,0.10,0.10,0.30,0.55,1
evt-027,2026-01-27T08:00:00Z,Pinelands,-33.938,18.510,8,0.10,0.15,0.50,0.10,0.10,0.05,0
evt-028,2026-01-28T20:00:00Z,Athlone,-33.960,18.500,20,0.65,0.45,0.40,0.25,0.35,0.45,1
evt-029,2026-01-29T14:00:00Z,CBD,-33.923,18.427,14,0.30,0.20,0.60,0.10,0.20,0.15,0
evt-030,2026-01-30T23:00:00Z,Woodstock,-33.931,18.452,23,0.85,0.50,0.15,0.15,0.40,0.60,1
evt-031,2026-01-31T10:00:00Z,Pinelands,-33.935,18.503,10,0.15,0.20,0.35,0.10,0.15,0.10,0
evt-032,2026-02-01T01:00:00Z,Athlone,-33.962,18.505,1,0.80,0.55,0.10,0.10,0.45,0.55,1
evt-033,2026-02-02T07:00:00Z,CBD,-33.926,18.421,7,0.20,0.15,0.50,0.10,0.10,0.10,0
evt-034,2026-02-03T21:00:00Z,Woodstock,-33.928,18.447,21,0.72,0.38,0.25,0.15,0.28,0.48,1
evt-035,2026-02-04T12:00:00Z,Pinelands,-33.937,18.508,12,0.12,0.18,0.42,0.12,0.10,0.08,0
evt-036,2026-02-05T22:00:00Z,Athlone,-33.959,18.503,22,0.78,0.52,0.22,0.18,0.38,0.52,1
evt-037,2026-02-06T16:00:00Z,CBD,-33.922,18.424,16,0.38,0.28,0.72,0.20,0.22,0.24,1
evt-038,2026-02-07T04:00:00Z,Woodstock,-33.932,18.449,4,0.76,0.44,0.12,0.12,0.34,0.58,1
evt-039,2026-02-08T09:00:00Z,Pinelands,-33.934,18.506,9,0.11,0.14,0.38,0.10,0.09,0.06,0
evt-040,2026-02-09T00:00:00Z,Athlone,-33.963,18.501,0,0.88,0.58,0.08,0.10,0.42,0.62,1
